COCO_val2014_000000217153#0	一个男人和一个女人穿着军装玩手机。
COCO_val2014_000000355183#0	一只狗正在努力接住飞来的飞盘
COCO_val2014_000000215906#0	一个女运动员在网球场上打网球
COCO_train2014_000000172654#0	一个绿色的消防栓旁边有一个水桶
COCO_train2014_000000202970#0	两只斑马在野外的草地上行走
COCO_val2014_000000538913#0	一个小女孩拿着一个冲浪板站在一个建筑物前
COCO_train2014_000000240196#0	一个金发碧眼的男人穿着西装打着领带
COCO_val2014_000000536615#0	两只长颈鹿正在吃高处的食物
COCO_train2014_000000228206#0	一辆大卡车驶过街道，旁边的围栏里，一群小孩在玩耍
COCO_val2014_000000146887#0	三只绿色的小鸟停在干枯的树枝上
COCO_val2014_000000094607#0	一个男人一边吃着一个三明治一边喝着饮料
COCO_train2014_000000391175#0	一个杂乱的办公桌上有一台台式电脑
COCO_train2014_000000219735#0	四个人手里拿着食物对着镜头微笑
COCO_train2014_000000249727#0	两个女人坐在摆着蛋糕的餐桌上面对镜头微笑
COCO_train2014_000000490993#0	一个空旷的客厅里有一台电视机
COCO_train2014_000000026424#0	一个人穿着滑雪服踩着滑雪板站在雪地上
COCO_val2014_000000409523#0	一个穿着黄色衣服的人在海上冲浪
COCO_train2014_000000406530#0	几个毛绒玩具熊被挂在一堵墙上
COCO_train2014_000000025385#0	黑夜里一个男人正在汽车里打电话
COCO_val2014_000000440959#0	黑夜里一个男人在街头玩滑板
COCO_train2014_000000510536#0	一辆老式电车载着货物在轨道上行驶
COCO_train2014_000000429898#0	一头鹰正要降落在一颗树上
COCO_train2014_000000192221#0	棒球比赛上，一个击球上正在击球
COCO_train2014_000000147134#0	一个小男孩正拿着球拍站在网球场上
COCO_train2014_000000173367#0	碧绿的大海上，一个人正在使用滑翔伞冲浪
COCO_train2014_000000305014#0	室内，一个女人举着一把剪刀和一卷胶带
COCO_train2014_000000270925#0	一个西方街头的黑白相片，很多人在人行道上行走
COCO_train2014_000000558711#0	室内的墙边并排放着两个白色的柜子
COCO_val2014_000000542451#0	丘陵草原上，有许多羊在山坡上吃草
COCO_train2014_000000532967#0	交错的阴影下，有一把大剪刀和一卷绳子
COCO_train2014_000000464468#0	大山中有一个小村庄，山顶有一个工厂
COCO_train2014_000000346678#0	两头熊在河里抓鱼，旁边有一只白色的水鸟
COCO_train2014_000000558917#0	餐厅里，有两个人在吃日式拉面
COCO_train2014_000000294968#0	雪地上，有一群人脱下雪板拖着一个物体前进
COCO_val2014_000000092205#0	公路上，一个工人正在放置一个停车标志
COCO_train2014_000000452878#0	黑暗中的电视机里有一个白发老年男人
COCO_train2014_000000437395#0	一个汽车上的广角后视镜的特写镜头
COCO_train2014_000000496977#0	房间里，一个笔记本电脑上贴着漂亮的花纹
COCO_val2014_000000139872#0	草地上，一只狗伸着舌头看着镜头，脚下有一个飞盘
COCO_train2014_000000581495#0	体育馆内一个男人在教两个女孩打网球
COCO_val2014_000000183970#0	酒店里，一个男人穿着衬衫打着领带在卫生间自拍
COCO_val2014_000000039368#0	停车场里停着一辆大巴车，旁边有一个西式建筑
COCO_train2014_000000573763#0	一个空旷的桌子上放着一个插着花的花瓶
COCO_train2014_000000244557#0	烧烤炉中有几个面包正在油锅里炸
COCO_train2014_000000154503#0	一个食品加工厂里几个工人正在工作
COCO_train2014_000000564050#0	超市里大蒜胡罗卜和芹菜正在出售
COCO_train2014_000000247265#0	动物园里，四头大象正在一起吃草
COCO_val2014_000000445211#0	河边大桥下的草地上一个带着墨镜的男人手里拿着一个飞盘
COCO_train2014_000000381759#0	街上，一个车厢上有巨大标志牌的卡车正在转弯
COCO_train2014_000000435311#0	一个男人街边看水果店的黑白照片
COCO_val2014_000000549789#0	雪山上，一个人正划着滑板飞过山谷，一个人躺在地上拍照
COCO_train2014_000000262415#0	后视镜中有一辆黄色的卡车
COCO_val2014_000000282672#0	一个穿着婚纱的女人正在打电话
COCO_train2014_000000254291#0	动物园里一个穿着红色衣服的游客正在给长颈鹿喂食
COCO_train2014_000000217407#0	汽车里的圆形出风口旁边有一个蓝色的小花
COCO_val2014_000000233315#0	房间里，一个男孩正在向杯子里加食物
COCO_val2014_000000296265#0	昏暗的天空下，一辆飞机正在低空飞行
COCO_train2014_000000305705#0	公园里，有一只长椅放在路边的草地上
COCO_val2014_000000169181#0	杂乱的床上放着一件衣服、两本书和一直玩具熊
COCO_train2014_000000379138#0	一个公交车车门两边有红色的立柱和金属把手
COCO_train2014_000000051453#0	盘子里放着一些意大利面和一些菜
COCO_train2014_000000358442#0	宽广的戈壁滩上，路边有一个标识牌
COCO_train2014_000000470862#0	一只猫从一个黑色的拉链书包里探出头
COCO_train2014_000000529490#0	两个女人在餐桌上吃饭的黑白照片
COCO_train2014_000000417700#0	一个穿着黑色冲浪服的人在汹涌的海上冲浪
COCO_val2014_000000070434#0	一个开了天窗的装修豪华的厕所
COCO_train2014_000000109629#0	沙发上一只猫趴在笔记本电脑前
COCO_val2014_000000009628#0	一个男人牵着一条绳子在湖面上冲浪
COCO_val2014_000000418251#0	蓝天下一个黄色的老式火车在铁轨上行驶
COCO_val2014_000000073118#0	两个重叠摆放在一起泰迪熊的特写
COCO_val2014_000000419859#0	昏黄的阳光下，一个红色的小鸟站在木制栏杆上
COCO_val2014_000000354744#0	蓝天下，一艘破旧的游艇搁浅在海边
COCO_val2014_000000461378#0	一个插满了棋子的五颜六色的蛋糕
COCO_train2014_000000067982#0	草地上拥挤的人群中一个男人抱着一只泰迪熊
COCO_val2014_000000480985#0	一辆摩托车停在一次展会上
COCO_val2014_000000010138#0	室内的厨房里，一个男人坐在桌边看着一个棕色的蛋糕
COCO_train2014_000000022224#0	一列运货火车行驶在草地边的铁轨上
COCO_val2014_000000234370#0	一个正将鼻子伸入嘴巴大象的特写
COCO_val2014_000000554273#0	一个男人一边跳着飞过一群趴着的人一边接一个飞盘
COCO_train2014_000000260651#0	房间里，一个男人腿上放着一个笔记本电脑，桌上有一台台式机
COCO_train2014_000000514925#0	一辆黑白相间的电车正驶过一个多轨轨道
COCO_val2014_000000262594#0	一个老式的改装摩托车的特写。
COCO_train2014_000000539922#0	墙边，一个带着紫色叶子的植物在一个木制花盆里
COCO_val2014_000000380330#0	一个人踩着滑雪板从楼梯扶手上滑下来
COCO_train2014_000000421656#0	一个淋满了沙拉酱的蔬菜沙拉
COCO_val2014_000000439215#0	一杯表面撒了很多咖啡粉的咖啡被放在桌子上
COCO_train2014_000000530433#0	一辆双层公交车驶过一条街，街道旁有停的车和积雪
COCO_train2014_000000359719#0	黑夜里一个男人跳起来扔出一个飞盘的黑白照片
COCO_train2014_000000500888#0	路边的草地上，一个红色的消防栓旁立着一个消防栓的标志牌
COCO_val2014_000000261426#0	餐桌上的黑色盘子上放着两个三层三明治
COCO_train2014_000000209200#0	两个女孩站在停了几辆车的马路上
COCO_train2014_000000351352#0	有三架飞机在天空中排列飞行
COCO_val2014_000000179522#0	一个浑身长满毛发的男人手里拿着一个白色的遥控器
COCO_train2014_000000416648#0	一个男人坐在餐桌上吃面包
COCO_train2014_000000468219#0	穿着西装打着领带的男人的黑白照片
COCO_val2014_000000476731#0	一个穿着红色衣服的男人在打电话
COCO_train2014_000000198764#0	标明价格的纸箱子里放满了要售卖的香蕉
COCO_train2014_000000325126#0	一个女人在客厅里玩电视游戏
COCO_val2014_000000345211#0	一张关于网球比赛的黑白照片
COCO_train2014_000000480755#0	桌子上放着一个橙子和一个杯子
COCO_train2014_000000284770#0	一群网球运动员在网球场上准备
COCO_train2014_000000078729#0	一架白色的飞机在蓝天上飞行
COCO_train2014_000000136561#0	房间里有一只狗躺在沙发上
COCO_val2014_000000278353#0	一只白色的绵羊站在草地上
COCO_train2014_000000527010#0	一个小男孩在公园里玩滑板
COCO_train2014_000000459203#0	一个玻璃花瓶里插着橙色的花
COCO_val2014_000000246197#0	一个白色的盘子里放着一些食物
COCO_train2014_000000408730#0	客厅里有一张桌子、沙发和一个茶几
COCO_train2014_000000257339#0	女孩手里拿着一杯水、腿上放着一个装有饼干的盘子微笑着坐在沙发上
COCO_val2014_000000544794#0	桌上的盘子中放着一块披萨
COCO_train2014_000000126047#0	四个人围着一张茶几坐在客厅中聊天
COCO_train2014_000000236998#0	一头长颈鹿低头亲吻着另一个长颈鹿的身体
COCO_train2014_000000410581#0	厨房中有一张大的餐桌和几组白色的橱柜
COCO_val2014_000000121987#0	几捆大蒜和两把香蕉挂着在售卖
COCO_train2014_000000302528#0	一只小猫躺在一个打开的行李箱里面
COCO_train2014_000000055642#0	一节火车停在草坪里的铁轨上
COCO_val2014_000000231408#0	草后一只猫和河里一只鸭子的模糊照片
COCO_train2014_000000259192#0	一个女孩和镜子里手拿吉他的男孩
COCO_train2014_000000142824#0	五个人站在林中一个木长凳边吃东西聊天
COCO_train2014_000000129142#0	平静的湖边停着邮轮岸上有两个人在照相
COCO_val2014_000000221864#0	一个女人穿着滑雪板坐在雪山上
COCO_train2014_000000024030#0	家中妈妈坐在沙发上两个孩子站在地板上玩毛线
COCO_train2014_000000100626#0	桌上放有两个插满鲜花的大花瓶和一个小花瓶
COCO_train2014_000000254042#0	海滩上一个救生员坐在红色太阳伞下的高脚椅上
COCO_train2014_000000354661#0	房间里有两个老式的行李箱落在一起
COCO_train2014_000000154244#0	有只手拿着一个小熊形状的水果盘
COCO_train2014_000000299411#0	一幅表现一间浴室布局的画
COCO_train2014_000000021089#0	烈日下一辆卡车正由远而近行驶在马路上
COCO_train2014_000000211255#0	铺着瓷砖的浴室里有一个浴缸和一个玻璃淋浴房
COCO_train2014_000000080634#0	打开的纸盒子里放着一个披萨饼和一份调味汁品
COCO_val2014_000000232596#0	一堆剪下来的黑色头发的特写镜头
COCO_val2014_000000247873#0	一个蓝色的行李箱靠在人行道上的灯柱上
COCO_val2014_000000260595#0	街边的一根柱子上很多指向不同方向的街道标志
COCO_train2014_000000215994#0	一群人围坐在一张长桌旁聚餐
COCO_train2014_000000002755#0	一群穿着棒球服的孩子边走边伸手击掌
COCO_train2014_000000477428#0	一个穿着黑色卫衣和浅蓝色牛仔裤的男子在街道上玩滑板
COCO_train2014_000000290122#0	一个男人左手拿着一个黑色的行李箱背对镜头站在储物柜前
COCO_val2014_000000419216#0	一些人坐在街边咖啡馆外聊天
COCO_val2014_000000468457#0	盒子里有一个吃了一半的披萨饼
COCO_val2014_000000401718#0	一个带蓝色花纹的盘子里放着一些糕点
COCO_val2014_000000285742#0	一张停着许多汽车的城市街道的黑白照片
COCO_val2014_000000407602#0	一个女模特坐在摩托车上 
COCO_val2014_000000016598#0	一个穿着蓝色衣服的女人拿着手机拍照
COCO_val2014_000000314836#0	一辆红色的双层公共汽车停在街道上
COCO_train2014_000000358171#0	一个穿着黑色衣服的女人撑着一把黄色的雨伞走
COCO_val2014_000000342403#0	一个小男孩在草地上打棒球
COCO_train2014_000000343922#0	在山上的草地上有一张木椅
COCO_train2014_000000033476#0	在足球场上几个小孩正在踢足球
COCO_train2014_000000568686#0	几个男孩在滑板场玩滑板 
COCO_train2014_000000195352#0	在图书馆的书架上摆满了各种各样的物品
COCO_train2014_000000224778#0	一条街道拐角处有一个交通标志
COCO_val2014_000000276804#0	在棒球场上几个棒球运动员正在打棒球
COCO_train2014_000000317227#0	在厨房的案板上摆放着各种各样的食物
COCO_train2014_000000554138#0	在赛马场中间有一个人骑着马
COCO_train2014_000000021345#0	一只黑白相间的猫带着紫色的帽子坐在椅子上
COCO_train2014_000000020576#0	盘子中有一把刀和肉排以及酱料
COCO_val2014_000000231476#0	在火车站台上有一列火车 
COCO_train2014_000000511245#0	一个用线编织的口袋中装着一个手机
COCO_val2014_000000013832#0	一个白色的盘子里放着一个汉堡和一些薯条
COCO_train2014_000000500954#0	一个男人在停着几辆车的街道上玩滑板
COCO_val2014_000000481710#0	桌子上放着一个微波炉和两个锅
COCO_val2014_000000366677#0	木桌上放着一个五颜六色的比萨饼
COCO_train2014_000000210848#0	一个棒球运动员正在挥动棒球棒
COCO_val2014_000000473942#0	一只白色的泰迪熊挂在一个杆子上
COCO_val2014_000000296865#0	几只棕色的羊站在草地上 
COCO_train2014_000000026939#0	一个男人和一个女人正面对面打电话
COCO_train2014_000000370783#0	一个干净整洁的房间里有一个桌子和一个冰箱
COCO_val2014_000000079331#0	一棵大树旁边有一个标识牌 
COCO_train2014_000000249921#0	两只斑马在草地上散步  
COCO_train2014_000000199678#0	一个手机下放着几张纸币 
COCO_train2014_000000445495#0	两个男孩和一个女人坐在沙发上看书
COCO_train2014_000000130886#0	一个男人站在草地上玩飞盘
COCO_train2014_000000019238#0	在床上放着一只棕色的泰迪熊
COCO_val2014_000000575719#0	一个穿着红色衣服的女孩拿着一个飞盘
COCO_val2014_000000306103#0	一群大象在长着几棵树的平原上散步
COCO_train2014_000000435764#0	在城市的街道上有一个红绿灯
COCO_train2014_000000087105#0	一个女人在看男人用笔记本电脑
COCO_train2014_000000186941#0	一个踩着冲浪板的人在海上冲浪
COCO_train2014_000000297359#0	一个小男孩和一个女孩在房间里剪纸
COCO_train2014_000000043191#0	在一辆红色的汽车前有一个人拿着一本书
COCO_train2014_000000095201#0	一个穿着黑色短裤的人在海上冲浪
COCO_train2014_000000576895#0	在棒球场上一个棒球运动员正在击球
COCO_val2014_000000321557#0	一辆黑色的摩托车停在路边
COCO_train2014_000000025147#0	一个穿着黑色衣服的女孩坐在长椅上
COCO_train2014_000000418418#0	一个棒球运动员在棒球场上打棒球
COCO_val2014_000000215914#0	一个穿黑色衣服的人在雪地上打球
COCO_val2014_000000215170#0	桌子上放着很多不同型号的老式手机
COCO_train2014_000000323489#0	一辆车拖着一个装着大象的拖车在街道上行驶
COCO_train2014_000000113106#0	一部黑色的收集放在键盘上
COCO_train2014_000000097819#0	一辆蓝色的摩托车停在一栋房子的窗前面
COCO_val2014_000000181542#0	一个穿着旗袍的女人走过人行道
COCO_train2014_000000322992#0	一个教堂里放着许多木制的桌子和椅子
COCO_train2014_000000091546#0	一只棕色的熊站在岩石旁边
COCO_train2014_000000521301#0	一辆马拉着一辆白色的马车停在建筑物旁的街道上
COCO_train2014_000000203107#0	篮子里有一个红色的盘子和一个黄色的盘子
COCO_train2014_000000153677#0	一个中年妇女拿着遥控器站在房间里
COCO_train2014_000000111969#0	一架白色的飞机停在机场跑道上
COCO_val2014_000000577223#0	一辆红白相间的大卡车停在停车场里
COCO_train2014_000000560431#0	一个戴着墨镜的男人拿着一个白色的风筝站在草地上
COCO_train2014_000000466093#0	一辆锈迹斑斑的船搁浅在海滩上
COCO_val2014_000000238488#0	一个女人一边使用笔记本电脑一边看电视屏幕
COCO_train2014_000000111604#0	一辆白色的公共汽车停在街道边
COCO_val2014_000000148392#0	一个穿着黄色衣服的男人站在一棵倒塌的树旁边
COCO_train2014_000000451415#0	一个小女孩手里拿着一个巧克力甜甜圈
COCO_val2014_000000383066#0	一个穿着白色衣服戴着眼镜的男人在桌前看手机
COCO_val2014_000000427500#0	路边有一个破旧的黄色消防栓
COCO_train2014_000000400818#0	一家人在沙滩上围着一张桌子聚会野餐
COCO_train2014_000000327055#0	几个男人站在公园的草地上，其中一个男人打着一把红色的伞
COCO_train2014_000000541596#0	一群消防队员正围在一辆白色大巴车旁边
COCO_train2014_000000189666#0	一个男人正在厨房里制作甜甜圈
COCO_val2014_000000422424#0	黑暗里有一只猫趴在桌子上睡觉
COCO_val2014_000000360573#0	几辆摩托车停在路边，周围站着几个人。
COCO_train2014_000000379034#0	一群穿着制服的人围坐在一张桌子旁吃饭
COCO_train2014_000000003628#0	两个男人在海边的沙滩上玩耍
COCO_val2014_000000410023#0	橱窗里陈列着三只穿着不同衣服的泰迪熊
COCO_val2014_000000560323#0	一个网球运动员在网球比赛中庆祝胜球
COCO_train2014_000000339171#0	两只脸是黑色身体是白色的绵羊站在草地上
COCO_val2014_000000241677#0	一个马队正沿着楼梯登上一座钢架桥。
COCO_val2014_000000125656#0	一个年轻女人和一个年老的女人坐在街道上看手机。
COCO_train2014_000000513214#0	一个穿着白色衣服的男人在草地上玩飞盘
COCO_train2014_000000297738#0	一列火车沿着铁轨驶入火车站台。
COCO_val2014_000000162752#0	两个穿着制服的人在维修路口的交通灯
COCO_val2014_000000420036#0	电视机前的桌子上摆放着一排遥控器
COCO_train2014_000000480192#0	一个穿着黄色衣服的男人拿着网球拍站在网球场上
COCO_val2014_000000211294#0	街道上停着一辆红色的消防车
COCO_train2014_000000572383#0	两个穿着滑雪服的人在雪山上滑雪
COCO_train2014_000000331904#0	一个女孩正在火车站台上等待徐徐进站的火车
COCO_train2014_000000465196#0	滑雪场上一个身着红色衣服穿着滑雪板的女人
COCO_train2014_000000305732#0	两个男人举着花条纹雨伞走在花丛中
COCO_train2014_000000413300#0	餐桌上放着刀叉和一大盘蔬菜和肉
COCO_train2014_000000079269#0	商店里陈列着各种饮料、三明治和糕点
COCO_train2014_000000036981#0	四个女郎在摩托车旁摆姿势拍照
COCO_train2014_000000080927#0	一个人拿着剪刀准备剪一块面点
COCO_train2014_000000465683#0	草地上一个男人蹲在一头大象前
COCO_train2014_000000018505#0	一把勺子放在一碗喝过剩下的蔬菜汤里
COCO_val2014_000000080194#0	一个双色网球放在一个网球拍上
COCO_train2014_000000353357#0	一列黄色的火车在铁轨上行驶
COCO_train2014_000000135996#0	一个穿着红色衣服的人骑着自行车停在街道上
COCO_train2014_000000285355#0	一只黑白相间的公鸡站在草地上
COCO_train2014_000000564550#0	彩色瓷砖的厕所里有一个白色的马桶
COCO_train2014_000000067046#0	房间有一个椅子和一张双人床
COCO_train2014_000000410946#0	一辆紫色的三层公交车停靠在街上
COCO_train2014_000000218774#0	一只白色的牛站在海边的沙滩上
COCO_train2014_000000525510#0	山边的街道上有几辆汽车在行驶
COCO_train2014_000000387769#0	两个小孩分别坐在两堆行李箱上
COCO_train2014_000000384740#0	白色的盘子里放着一只夹着许多烤香肠的热狗
COCO_train2014_000000398433#0	三个人带着四只大象穿过一条河流
COCO_val2014_000000203095#0	厨房的台子上摆满了各种各样的蔬菜和肉
COCO_train2014_000000189645#0	马路边的蔬菜摊旁停着一辆载着蔬菜的摩托车
COCO_train2014_000000021632#0	两个穿着灰色毛绒衣服的人站在一个红色的消防栓旁边
COCO_val2014_000000556873#0	草丛中的一丛白色小花旁有一个白色的蛋糕
COCO_train2014_000000204919#0	一个大睁眼睛的男人正在刷牙
COCO_val2014_000000232315#0	两只穿着彩色小鞋子的动物腿踩在草地上
COCO_train2014_000000576237#0	三个滑雪者在山间的雪地上滑雪
COCO_train2014_000000231719#0	一个背着狗的男人在火车的走道上行走
COCO_train2014_000000111707#0	一架喷气式战斗机在天空中飞行
COCO_train2014_000000326098#0	白色的电脑桌上放着一台电脑和一些小物件
COCO_train2014_000000326511#0	树林里两只长颈鹿站在一起交叉着脖子
COCO_val2014_000000211063#0	一只小鸟落在了一棵大树上
COCO_train2014_000000170607#0	一个淡黄色的建筑物上有一个龙的雕像
COCO_train2014_000000452841#0	树林的草丛里有两只斑马站在一起
COCO_train2014_000000350621#0	阳台上摆放着很多椅子和桌子还有遮阳伞
COCO_train2014_000000120836#0	桌子上放着夹着黄瓜片的面包
COCO_train2014_000000506078#0	两只长颈鹿正在草地上散步
COCO_train2014_000000107119#0	足球场上一名运动员正在踢足球
COCO_train2014_000000546651#0	三个人正在看其他人划皮筏
COCO_train2014_000000074232#0	孩子们正开心的在一起刷牙
COCO_train2014_000000267548#0	交警穿着制服对着镜头微笑
COCO_val2014_000000321935#0	马路中间有一个具有年代感的钟塔
COCO_val2014_000000061422#0	卫生间里有一个白色的洗手池和一个白色的马桶
COCO_train2014_000000064357#0	一群人打着雨伞走在街道上
COCO_train2014_000000485875#0	桌子上摆放着一个装着鲜花的瓶子
COCO_val2014_000000581886#0	两个冲浪的人正坐在沙滩上
COCO_train2014_000000431859#0	一个浪花正打在一个冲浪人的冲浪板上
COCO_val2014_000000384348#0	滑雪爱好者正在雪道上滑雪
COCO_train2014_000000561426#0	草地上空有许多五颜六色的风筝
COCO_train2014_000000497863#0	一辆老式蒸汽火车正在桥上行驶
COCO_train2014_000000416186#0	一辆双层巴士正在路口行驶
COCO_train2014_000000069559#0	一个驾驶员正在车里拿着手机打电话
COCO_val2014_000000343031#0	铁轨上停着许多绿色的车厢
COCO_train2014_000000284578#0	几头健壮的斑马正在草地上休息
COCO_train2014_000000020261#0	一个红色的风筝在城市上空中飞翔
COCO_val2014_000000319053#0	有许多车辆正在行驶通过斑马线
COCO_val2014_000000342322#0	牧羊人正骑着马驱赶着羊群
COCO_train2014_000000505420#0	滑雪运动员正在赛道上滑雪
COCO_train2014_000000188660#0	一群鸽子正在海边的沙滩上休息
COCO_val2014_000000088225#0	马路的两边有着一大片绿色的草坪
COCO_val2014_000000324914#0	这里有一个黑色键盘的特写
COCO_val2014_000000349402#0	有很多香蕉被挂在了架子上
COCO_train2014_000000180543#0	两个男人在房间里玩电视游戏
COCO_val2014_000000102978#0	有一个巨大的披萨在桌子上摆着
COCO_train2014_000000055301#0	一个戴眼镜的男子打着伞正在对镜头微信
COCO_train2014_000000433405#0	多个盛满酒的酒杯放在桌子上
COCO_val2014_000000263780#0	一只大象带着一只大象到池塘边喝水
COCO_train2014_000000355095#0	一只狸花猫趴在一个旅游鞋子上
COCO_train2014_000000218145#0	一个戴着眼镜的男人在使用剪刀剪标签
COCO_train2014_000000220430#0	三朵红色的玫瑰花插在一个花瓶中
COCO_train2014_000000083262#0	一黑一黄两头牛卧在草地上休息眺望远方
COCO_train2014_000000259721#0	厨房中黑色大烤箱上是几个煤气灶
COCO_val2014_000000274655#0	涂有文字的一辆彩色公交车行驶在街道上
COCO_val2014_000000237254#0	圣诞期间一辆双层公交车停在站台等乘客上车
COCO_val2014_000000262654#0	盘里盛有绿色菜花和牛肉等食物
COCO_val2014_000000133537#0	火车站台上乘客在准备上车
COCO_train2014_000000218759#0	餐桌前一个小男孩在吃一块放在盘子里的蛋糕
COCO_val2014_000000314125#0	餐桌上放有两盘蔬菜和一大碟披萨饼
COCO_train2014_000000042103#0	一个女孩一手拿着面包一手拿着芝麻酱，面前桌上放有饮料
COCO_train2014_000000336330#0	夕阳下一对夫妇在海滩上骑行
COCO_val2014_000000122839#0	街道边上的人物大象等雕塑
COCO_train2014_000000245298#0	一个女人摸着一只黑白相间蹲在椅子上的小狗在照相
COCO_val2014_000000322629#0	人们在看一个小男孩玩滑轮的黑白照片
COCO_train2014_000000032739#0	休息室里人们坐在沙发上看电视
COCO_val2014_000000054335#0	两个人站在一个大钟楼上面往外看
COCO_train2014_000000037880#0	一个高级宾馆的宽敞的卫生间
COCO_train2014_000000296170#0	两个男人在房间里玩体感游戏
COCO_train2014_000000171785#0	两个玩滑板的男孩在滑板场上玩滑板
COCO_train2014_000000051501#0	一个僧侣撑着一把黄色的雨伞走在街道上
COCO_train2014_000000416652#0	两头棕色的牦牛站在草地上
COCO_train2014_000000194677#0	一个男人在远处看两个男人打棒球
COCO_train2014_000000565144#0	一直绵羊在雪地里找吃的东西
COCO_train2014_000000328654#0	一个男人站在厨房的打开的冰箱边上
COCO_train2014_000000161738#0	在大型的纪念碑前面有许多汽车
COCO_val2014_000000010107#0	一只癞皮狗坐在沙发边上张着大嘴
COCO_val2014_000000514685#0	一只沙皮狗跳起来接住一个飞盘
COCO_train2014_000000552575#0	一只狗趴在草地上前面放着一个红色的飞盘
COCO_train2014_000000394790#0	滑雪场上一群人在准备滑雪
COCO_train2014_000000010145#0	一个高大上的客厅里有沙发茶几和沙发
COCO_train2014_000000382582#0	一只棕色的猫坐在一个红色的椅子上
COCO_train2014_000000226928#0	海边一个男人在冲浪板上冲浪
COCO_train2014_000000046385#0	一个男人在点生日蛋糕上的蜡烛
COCO_train2014_000000198565#0	一个男子在公园里玩滑翔伞
COCO_train2014_000000452279#0	两个女人坐在公园的长椅上休息
COCO_train2014_000000116804#0	一个女孩在玩滑板的黑白照片
COCO_val2014_000000483849#0	花瓶中插着一束鲜花放着窗台上
COCO_train2014_000000179122#0	人们在公园里的草地上放风筝
COCO_train2014_000000162204#0	一个破败的街道的旧黑白照片
COCO_train2014_000000257988#0	两个行李箱放在积雪覆盖的街道上
COCO_val2014_000000187285#0	傍晚的时候两个男人在海上冲浪
COCO_val2014_000000520964#0	非洲黑人区的街道上有一头牛
COCO_train2014_000000189561#0	日本的街道上的一条小巷行人打着伞
COCO_val2014_000000287574#0	两只大象在水里喝水和嬉戏
COCO_val2014_000000209289#0	一个女人牵着一只黑白相间的狗蹲在草地上
COCO_train2014_000000047548#0	一个女人在公园的草地上玩飞盘
COCO_train2014_000000047101#0	一个胖女人站在草地上放风筝
COCO_train2014_000000391361#0	两个小孩子坐在桌子边吃披萨饼
COCO_val2014_000000083466#0	一个男人在滑雪场滑雪地上滑雪
COCO_train2014_000000142466#0	一个售卖蔬菜的小船停靠在码头上
COCO_train2014_000000447623#0	街道旁的草地上有一个停车标志
COCO_train2014_000000246958#0	一头小象站在大象妈妈旁边
COCO_train2014_000000230070#0	一匹斑马站在动物园的草地上
COCO_train2014_000000442977#0	一个男人正在街道上玩滑板
COCO_val2014_000000505242#0	一个男人在山脚下站在雪地上玩滑雪板
COCO_val2014_000000030998#0	多个油炸的面包放在桌子上
COCO_train2014_000000508281#0	同一个小男孩在超市的四联照片
COCO_train2014_000000311773#0	大人在教一个小女孩玩玩具
COCO_val2014_000000099990#0	两个网球女运动员在网球场上打网球
COCO_val2014_000000248953#0	一个男人在滑雪场的栏杆上玩极限滑雪
COCO_val2014_000000068078#0	一个卫生间里马桶边有一只小狗
COCO_train2014_000000448061#0	干净的街道上有一辆蓝色的汽车
COCO_val2014_000000008888#0	飞机场上停着多架大型飞机
COCO_train2014_000000135545#0	街道上有一个红色的标志牌
COCO_train2014_000000499682#0	一个穿着西装打着领带的男人很高兴的笑着
COCO_train2014_000000469768#0	一个女人在市场的小摊上卖水果
COCO_val2014_000000034020#0	一个男人在空旷的滑雪场滑雪
COCO_val2014_000000218761#0	一个巧克力球上撒上了白色的奶酪
COCO_train2014_000000068414#0	一个冲浪选手在远处有桥柱子的海边冲浪
COCO_train2014_000000240057#0	韩国的一男一女在展示手机
COCO_train2014_000000314899#0	高尔夫选手在球场上打高尔夫球
COCO_train2014_000000125230#0	水果摊上有各种各样的水果标着价格
COCO_train2014_000000580235#0	一个冲浪选手在有堤坝的大海边冲浪
COCO_train2014_000000242399#0	跑垒场上一个棒球运动员正准备接球
COCO_train2014_000000083060#0	一个非常干净整洁的厨房的厨具
COCO_val2014_000000003134#0	路大巴车正在街道上转弯处行驶
COCO_train2014_000000132306#0	多个彩色的罐子里挂在商店里
COCO_val2014_000000061943#0	草原上有一群人骑着一头大象后面跟着一只小
COCO_train2014_000000274734#0	一个男孩面前放着两个香蕉和一个橙子
COCO_val2014_000000451944#0	一群人正排队上一辆停在路边的公交车
COCO_val2014_000000540093#0	一把红色的太阳伞下有一个被塑料薄膜盖起来的东西
COCO_val2014_000000256309#0	厨房里的灶台上放着一个烤面包机和一个烤箱
COCO_train2014_000000100897#0	厕所里有一个白色的抽水马桶
COCO_val2014_000000438861#0	一看穿着红色T恤的男人躺在床上
COCO_train2014_000000119551#0	一架飞机停在空地上，周围围满了人
COCO_train2014_000000185351#0	一个穿着花衬衫的男人正在用手柄玩游戏
COCO_val2014_000000443556#0	一个赤裸上身的男人正在玩滑板
COCO_val2014_000000489899#0	一头大象带着一头小象朝水池走去
COCO_train2014_000000166959#0	一位服务员正在给两位女士倒酒
COCO_val2014_000000110784#0	一个人站在汽车的尾部唱歌
COCO_val2014_000000353909#0	草地上立着一个蓝色的冲浪板
COCO_train2014_000000447204#0	厨房中放着一个白色的烤箱和一个白色的微波炉
COCO_train2014_000000013995#0	天空中飞着一个巨大的红蓝相间的风筝
